id,ranking,name,institution,ign
P001,2099,Alex Garcia,Universiti Sains Malaysia,Seagull
P002,1979,Taylor Johnson,Sunway University,Albralelie
P003,2293,Dakota Davis,University of Malaya,karrigan
P004,2011,Jordan Brown,Universiti Sains Malaysia,Fng
P005,2140,Dakota Smith,Sunway University,Bugha
P006,2250,Quinn Davis,Universiti Sains Malaysia,Dubs
P007,2187,Dakota Garcia,University of Malaya,Xyp9x
P008,2177,Jamie Martinez,Universiti Teknologi Malaysia,lamar
P009,2150,Morgan Martinez,Universiti Kebangsaan Malaysia,Bischu
P010,2298,Jamie Johnson,Taylor's University,Skadoodle
P011,2055,Dakota Garcia,University of Malaya,Ludwig
P012,1942,Quinn Johnson,Monash University Malaysia,Nenne
P013,2352,Quinn Garcia,Multimedia University,shroud
P014,1970,Dakota Brown,Universiti Kebangsaan Malaysia,Cellium
P015,2073,Morgan Garcia,Universiti Kebangsaan Malaysia,iceiceice
P016,1950,Jordan Davis,Universiti Teknologi Malaysia,Asuna
P017,1996,Riley Lee,Taylor's University,Carpe
P018,1909,Morgan Garcia,Universiti Kebangsaan Malaysia,Topson
P019,2244,Quinn Brown,Universiti Putra Malaysia,Zayt
P020,2187,Jamie Garcia,Sunway University,Asmongold
P021,2083,Riley Smith,Universiti Sains Malaysia,device
P022,2142,Riley Davis,Universiti Teknologi Malaysia,Fuslie
P023,2102,Morgan Anderson,Taylor's University,Leffen
P024,2278,Avery Davis,UCSI University,Chap
P025,2136,Casey Lee,Universiti Sains Malaysia,Sykkuno
P026,2279,Quinn Garcia,Multimedia University,jstn.
P027,1983,Dakota Davis,Taylor's University,Reps
P028,2271,Taylor Wilson,UCSI University,shahZaM
P029,2046,Alex Johnson,Universiti Putra Malaysia,w33
P030,2241,Jamie Anderson,Universiti Kebangsaan Malaysia,Wizzrobe
P031,2105,Jamie Anderson,UCSI University,Striker
P032,1942,Casey Wilson,University of Malaya,RYAN D
P033,1987,Quinn Garcia,Taylor's University,SBB
P034,2190,Casey Davis,Universiti Putra Malaysia,BorasLegend
P035,2155,Alex Garcia,Sunway University,Accuracy
P036,2019,Quinn Johnson,Universiti Teknologi Malaysia,s4
P037,2393,Dakota Brown,Universiti Putra Malaysia,Aqua
P038,2331,Taylor Wilson,Sunway University,ImperialHal
P039,1994,Dakota Martinez,UCSI University,Fury
P040,2100,Jordan Martinez,Universiti Teknologi Malaysia,Deft
P041,2323,Alex Brown,Multimedia University,Pine
P042,1970,Jordan Rodriguez,Universiti Kebangsaan Malaysia,GH
P043,1988,Taylor Lee,UCSI University,raider464
P044,2061,Taylor Garcia,Sunway University,MonteCristo
P045,2376,Morgan Wilson,Universiti Sains Malaysia,Myth
P046,2026,Jamie Martinez,UCSI University,xQc
P047,2104,Avery Johnson,Universiti Sains Malaysia,stax
P048,2127,Jordan Martinez,University of Malaya,M0xyy
P049,2310,Morgan Anderson,Universiti Sains Malaysia,JJoNak
P050,1907,Jordan Smith,Universiti Sains Malaysia,Bjergsen
P051,2197,Alex Martinez,Universiti Kebangsaan Malaysia,Marved
P052,2341,Morgan Garcia,UCSI University,Pokimane
P053,1983,Quinn Lee,Multimedia University,Fwiz
P054,2196,Avery Brown,UCSI University,NICKMERCS
P055,2102,Morgan Johnson,Universiti Kebangsaan Malaysia,MrSavage
P056,2161,Riley Davis,Monash University Malaysia,kuroKy
P057,2166,Alex Johnson,University of Malaya,nitr0
P058,2346,Riley Johnson,Universiti Sains Malaysia,RAMZEs
P059,2391,Morgan Wilson,UCSI University,Dashy
P060,2168,Jamie Lee,Universiti Teknologi Malaysia,Angelo
P061,2226,Morgan Johnson,UCSI University,TheShy
P062,2307,Jordan Smith,Sunway University,Boaster
P063,2376,Jordan Brown,Universiti Putra Malaysia,gla1ve
P064,2177,Avery Rodriguez,Universiti Sains Malaysia,Puppey
P065,2090,Alex Lee,Monash University Malaysia,Slacked
P066,2284,Jamie Garcia,UCSI University,ZywOo
P067,2384,Jamie Wilson,UCSI University,coldzera
P068,2221,Morgan Garcia,Universiti Sains Malaysia,Ninja
P069,1974,Dakota Wilson,University of Malaya,Hafu
P070,1931,Alex Smith,Multimedia University,Tonkha
P071,2270,Quinn Wilson,Universiti Putra Malaysia,flamie
P072,1976,Quinn Johnson,Universiti Putra Malaysia,Birdring
P073,1916,Dakota Johnson,Universiti Sains Malaysia,TimTheTatman
P074,1919,Jordan Anderson,Universiti Sains Malaysia,Kaydop
P075,2000,Dakota Smith,Multimedia University,Temp
P076,2255,Jamie Anderson,Multimedia University,corey
P077,1902,Riley Garcia,Universiti Sains Malaysia,Armada
P078,2042,Morgan Garcia,Monash University Malaysia,Kripparrian
P079,2346,Casey Rodriguez,Taylor's University,Simp
P080,2290,Alex Rodriguez,Multimedia University,Tfue
P081,2036,Jordan Johnson,Sunway University,Sodapoppin
P082,2033,Quinn Garcia,Universiti Putra Malaysia,Ryujehong
P083,2216,Jordan Brown,Taylor's University,FazeSwagg
P084,1931,Taylor Rodriguez,Sunway University,Ghosty
P085,2187,Dakota Wilson,University of Malaya,shox
P086,2358,Casey Johnson,Universiti Putra Malaysia,Kitboga
